stationId,stationLon,stationLat,charge_speed_station,capacity,holiday_prob,workday_prob
47477,116.33118,39.762497,150.0,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55957,116.3343,39.763615,60.0,7,"[0.9939999999999999, 0.133, 0.14, 0.042, 0.04900000000000001, 0.17500000000000002, 0.266, 0.434, 0.294, 0.04900000000000001, 0.021, 0.0, 0.007, 0.0, 0.0, 0.007, 0.007, 0.014, 0.161, 0.126, 0.11900000000000001, 0.014, 0.126, 0.126]","[0.511, 0.056, 0.09100000000000001, 0.063, 0.04900000000000001, 0.07, 0.427, 0.09100000000000001, 0.063, 0.105, 0.07, 1.5819999999999999, 0.154, 0.035, 0.028, 0.0, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.042, 0.042]"
47261,116.330795,39.766476,60.0,7,"[1.64, 0.44000000000000006, 0.19, 0.11000000000000001, 0.09, 0.34, 1.53, 1.23, 0.73, 0.69, 0.75, 0.41, 0.12000000000000001, 0.05, 0.02, 0.18, 0.62, 0.21, 0.18, 0.12000000000000001, 0.07, 0.060000000000000005, 0.66, 0.68]","[0.7, 0.25, 0.16, 0.15, 0.14, 0.35, 1.28, 0.9199999999999999, 0.91, 0.9600000000000001, 0.89, 2.26, 0.15, 0.08, 0.67, 0.84, 0.9199999999999999, 0.89, 0.76, 0.34, 0.7, 0.22999999999999998, 0.24000000000000002, 0.26]"
47242,116.32829,39.755146,30.0,3,"[0.87375, 0.135, 0.052500000000000005, 0.01125, 0.018750000000000003, 0.04875, 0.70125, 0.70875, 0.5962500000000001, 1.8675000000000002, 2.1675, 1.71, 1.98, 1.6275, 1.16625, 2.0062499999999996, 1.6087500000000001, 1.5675, 1.45125, 1.25625, 1.5825, 1.3800000000000001, 0.7124999999999999, 0.5325]","[0.43875, 0.3225, 0.1575, 0.735, 0.57375, 0.21749999999999997, 0.4275, 0.5475, 0.73875, 1.06875, 1.2037499999999999, 1.7062499999999998, 1.23, 1.15875, 1.1400000000000001, 0.73125, 1.27875, 1.3312499999999998, 1.5975, 1.18125, 1.1400000000000001, 1.06875, 0.90375, 0.8400000000000001]"
47436,116.33833,39.771133,30.0,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55561,116.09095,39.720478,120.0,8,"[2.13, 0.41, 0.23, 0.16, 0.17, 1.19, 1.48, 0.51, 1.21, 2.05, 3.83, 3.44, 2.57, 3.1, 3.46, 3.27, 3.75, 5.1, 3.93, 3.45, 5.21, 4.9, 2.29, 2.1]","[1.24, 1.78, 1.52, 0.77, 0.41, 1.45, 1.35, 1.35, 2.05, 2.28, 2.16, 2.58, 2.33, 2.42, 2.87, 3.81, 3.1, 2.25, 2.6, 2.9, 2.26, 2.14, 1.46, 2.57]"
47869,116.09437,39.723602,30.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60743,116.10118,39.722565,60.0,8,"[1.2, 0.39, 0.66, 0.15, 0.13, 0.54, 0.7, 1.29, 1.14, 2.77, 2.67, 1.98, 1.37, 0.79, 0.43, 0.4, 0.79, 1.03, 0.33, 0.2, 0.11, 0.54, 0.2, 0.42]","[1.54, 0.35, 0.4, 0.2, 0.15, 0.28, 0.55, 0.55, 0.96, 1.55, 1.25, 1.99, 1.4, 1.27, 1.61, 1.51, 1.23, 1.26, 1.62, 1.49, 0.99, 0.84, 0.26, 0.22]"
50903,116.07497,39.73701,7.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50962,116.07405,39.73853,7.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
